f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,class
0.800001,0,0.000803,0.001984,0.777776,0,0.214286,0.428572,1,1,0,0,1,1,0,0.142857,0,0,0,0,0,0,0,0,0,0,0.166666,0,2
0.800001,0,0.010535,0.002976,1,0,0.214286,0.285715,1,0,1,0,1,0,0,0,0.249999,0,0,0,0,0,0,0,0,0,0,0,6
0.800001,0,0.000446,0.002976,0.777776,0,0.142857,0.428572,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.600001,0.333333,0.001339,0.000992,1,0.4,0,0.428572,1,1,1,0,1,0,0,0.285715,0,0,0,0,0,0,0,1,0,0,0.166666,0.285714,5
0.600001,1,0.004955,0.000992,1,0,0.785714,0.285715,1,0,1,0,1,0,0,0,0,0,0,0.25,0.02,0,0,0,0,0,0.333333,0,5
0.600001,0,0.078564,0.002976,0.777776,0,0,0,0,1,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0.166666,0.142857,2
0.400001,0,0,0,0.333332,0,0.142857,0.285715,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333,0,0
0.400001,0,0.000134,0,0.333332,0,0.214286,0.285715,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714,0
0.600001,0.333333,0.026203,0.008929,1,0.2,0.142857,0.285715,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666,0.142857,1
0.600001,0.333333,0.005267,0.005952,1,0,0.214286,0.285715,1,1,0,0,0,1,0,0,0,0,0,0,0.02,0,0,0,0,0,0.833331,0.142857,5
0.800001,0,0.014865,0.012897,1,0,1,0.428572,1,0,1,1,1,0,0,0,0,0,0,0.25,0.02,1,0,0,0,0,0.333333,0.571429,2
0.800001,0,0,0,1,0,0,0.285715,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
0.600001,1,0.055352,0.006944,0.222221,0.6,0,0.285715,1,1,0,1,0,0,0,0.428572,0,0,0,0,0,0,0,0,0,0,0.166666,0,2
0.400001,0,0,0,1,0.4,0,0.285715,1,0,0,0,1,1,0,0,0,0.499999,0,0,0,0,0,1,0,0,0.666666,0,0
1,0,0,0,1,0,0,0.285715,0,0,1,0,1,0,0,0.285715,0,0,0,0,0.02,0,0,1,0,0,0.333333,0.285714,1
0.600001,1,0.046023,0.001984,0.777776,0,0,0.142857,0,1,0,1,0,0,0,0.142857,0,0,0,0,0.02,1,0,0,0,0,0.166666,0.142857,2
0.600001,0.333333,0.000089,0.000992,0,0,0.285715,0.428572,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,4
0,1,0.088072,0.076389,0.11111,0.6,0,0.428572,1,1,0,0,1,0,1,0.142857,0,0,0,0,0,0,0,0,1,0,0.166666,0,0
1,0,0.000045,0,1,0,0,0.142857,0,0,1,0,1,0,0,0.285715,0,0,0,0,0.08,0,0,0,0,0,0.333333,0.285714,1
0.400001,0,0,0,0.222221,0,0.142857,0.142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571429,0
0.800001,0,0.069904,0.001984,1,0.6,0,0.285715,1,0,1,1,0,0,0,0,0.5,0,0,0,0.02,1,1,1,0,0,0,0,6
0,1,0,0,0,0,0,0.857143,1,1,1,1,1,1,0,0.285715,0,1,1,0.25,0,0,0,1,1,0,0.666666,0.285714,1
0.600001,1,0.019954,0.019841,0.777776,0,0,0.142857,1,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,2
0.600001,0.333333,0.034952,0.011905,1,0,0.357143,0.571429,1,1,0,1,1,1,0,0.428572,0,0,0,0,0.02,0,1,1,0,0,0.166666,0.428571,5
1,0.333333,0,0,1,0,0.214286,0.285715,0,0,1,1,1,0,0,0.285715,0,0,0,0,0.02,0,0,0,0,0,0.333333,0.285714,1
0.800001,0,0.006249,0.015873,1,0,0,0.285715,0,0,1,0,1,0,1,1,0,0,0,0,0.04,1,0,0,0,0,0.333333,0.285714,4
0.400001,0,0.00183,0.013889,0.555554,0,0.214286,0.285715,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714,1
0,1,0,0,0.555554,0,0.071429,0.285715,1,0,1,0,1,0,0,0.571429,0,0,0,0,0.12,0,0,0,0,0,0.666666,0.571429,1
1,0.333333,0.011963,0.001984,0,0,0,0.285715,1,0,1,0,1,0,0,0.285715,0,0.499999,1,0.25,0.08,0,0,0,0,0,0.666666,0.285714,1
0,1,0.005714,0.002976,0.11111,0,0.214286,0.142857,0,0,1,0,1,0,0,0.285715,0,0,0,0,0,0,0,0,0,0,0.333333,0.285714,0
0.600001,0,0.056557,0.00496,0.222221,0,0.214286,0.285715,0,1,0,0,1,0,1,0.857145,0.249999,0,0,0,0,0,0,0,0,0,1,0.142857,2
0.600001,0,0.041291,0.055555,1,0.6,0,0.142857,0,1,0,0,1,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0.166666,0.142857,2
1,0.666667,0,0,0,0,0,0.428572,1,0,1,1,1,0,0,0.428572,0.249999,0.499999,1,0.25,0.1,0,0,0,0,0,0.666666,0.428571,1
0.800001,0,0.005401,0.017857,1,0,0.357143,0.285715,1,0,1,0,1,0,0,0.285715,0.249999,0,0,0,0.02,0,0,0,0,0,0.333333,0.285714,6
0.800001,0,0.008705,0.008929,0.777776,0,0.214286,0.428572,1,1,0,0,1,1,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.714285,2
0.400001,0,0.014463,0.003968,0.555554,0,0,0.285715,1,0,1,0,1,0,0,0,0,0.499999,0,0,0,0,0,0,0,0,0,0,1
0.800001,0,0.009463,0.000992,0.777776,0,0.142857,0.285715,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857,2
0.800001,0,0.03589,0.083333,0.555554,0.2,0,0.142857,0,1,0,0,1,0,0,0.142857,0,0,0,0,0.02,1,0,0,0,0,0.666666,0.142857,2
0.200001,1,0.003393,0.001984,0.11111,0,0,0.285715,1,0,1,0,1,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0.666666,0.571429,0
1,0.333333,0.020668,0.002976,0,0,0,0.428572,1,0,0,1,1,1,0,0.714287,0,0,0,0,0.1,0,1,0,1,0,0,0.714285,5
0.200001,0.666667,0.018168,0.002976,0.11111,0,0.214286,0.714286,1,1,1,1,1,1,0,0,0.249999,0,0,0,0.02,0,0,1,1,1,0,0.285714,0
0.200001,0.666667,0.057361,0.013889,0.11111,0.6,0,0.142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.013392,0.047619,1,0,0,0.428572,1,0,1,1,1,0,0,0.285715,0,0,0,0,0.08,0,1,0,0,0,0.333333,0,0
0.400001,0,0.013972,0.035714,0.444443,0,0.142857,0.142857,1,0,0,0,1,0,0,0.571429,0,0,0,0,0,0,0,0,0,0,0.666666,0,6
0.400001,1,0.004107,0.009921,0.555554,0,0,0.571429,1,1,1,1,1,0,0,0,0.249999,0,0,0,0,0,0,1,0,0,0.166666,0,0
0,1,0.000402,0.002976,0.11111,0,0.357143,0.285715,1,0,1,0,1,0,0,0,0,0,0,0,0.02,0,1,0,0,0,0,0,0
0.800001,0,0.000491,0,0.777776,0,0,0.142857,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.666666,1,2
0.400001,0,0.010579,0.021825,0.555554,0.6,0,0.857143,1,1,1,1,1,0,1,0,0,0,0,0,0.04,0,0,1,1,1,0.333333,0,6
0.600001,0.333333,0.001161,0.00496,1,0.6,0,0.428572,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.142857,5
0.400001,0,0,0,0.555554,0,0.142857,0.142857,0,0,1,0,1,0,0,0.571429,0,0,0,0,0,0,0,0,0,0,0.666666,0.285714,0
0.600001,0,0,0,0.555554,0,0.214286,0.428572,1,1,0,1,0,1,0,0.142857,0,0,0,0,0.04,0,1,0,0,0,0.166666,0.142857,0
0.800001,0,0.095974,0.008929,0.777776,0,0,0.142857,0,1,0,0,1,0,0,0.142857,0,0,0,0,0,0,0,1,0,1,0.166666,0.142857,2
0.600001,1,0.008749,0.005952,0.222221,0.6,0,0.285715,1,1,0,1,0,0,0,0.142857,0,0,0,0,0.02,0,0,0,0,0,0.166666,0,2
0.600001,0.333333,0,0,0,0,0,0.285715,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,1
0.600001,1,0.003214,0.002976,0,0,0.214286,0.285715,0,1,1,0,1,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0.166666,0.285714,5
0.800001,0,0.000045,0.002976,0.666665,0,0.142857,0.142857,1,0,0,0,1,0,0,0.571429,0,0,0,0,0.1,1,0,0,0,0,0,0.571429,3
1,0.333333,0.001339,0,0,0,0,0.428572,0,1,1,1,1,0,0,0.142857,0,0,0,0,0.1,0,1,0,0,0,0.333333,0.142857,1
0.600001,0,0.028435,0.00496,1,0,0,0.142857,0,0,1,0,1,0,0,0.285715,0,0,0,0,0.02,0,0,0,0,0,0.333333,0.285714,2
0.600001,0.333333,0.054504,0.02877,0.555554,0,0.214286,0.571429,1,1,1,0,1,0,1,0.857145,0,0.499999,1,0,0,0,0,0,0,0,1,0.285714,1
0.800001,0,0.004419,0.03869,1,0,0,0.428572,1,0,1,0,1,1,0,0.571429,0.249999,0,0,0,0,0,0,1,0,0,0.666666,0.571429,7
0.800001,0,0.012856,0.001984,0.777776,0,0.214286,0.428572,1,0,1,0,1,1,0,0,0,0,0,0,0.02,0,1,0,0,0,0,0.714285,2
0.400001,1,0.022543,0.037698,0.11111,0,0.214286,0.142857,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800001,0,0.002946,0.014881,1,0.4,0,0.428572,0,1,0,1,0,0,1,0.428572,0,0,0,0,0,0,0,1,1,0,0.499999,0.428571,3
0.600001,0.666667,0,0,0,0,0,0.857143,1,1,1,1,1,0,1,0.285715,0,0.499999,1,0.25,0,0,0,1,0,0,0.666666,0.285714,1
0,1,0,0,0,0,0,0.571429,1,1,0,1,1,1,0,0.142857,0,0,0,0,0.04,0,1,0,0,0,0.166666,0,1
0,1,0,0,0,0,0,0.428572,0,0,1,1,1,1,0,0.285715,0,0,0,0,0,0,1,0,0,0,0.333333,0.285714,1
0,1,0,0,0,1,0,0.428572,0,1,1,1,1,0,0,0.142857,0,0,0,0,0,0,0,1,1,1,0.333333,0.142857,1
0.600001,0,0.111865,0.019841,0.777776,0,0.214286,0.428572,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.714285,2
0.200001,1,0.002812,0,0.555554,0,0.357143,0.428572,1,1,0,1,1,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.166666,0.142857,1
0.600001,0.333333,0.000759,0.000992,1,0,0.357143,0.857143,1,0,1,1,1,1,1,0.285715,0,0,0,0,0,0,0,1,0,0,0.333333,0.285714,1
0.400001,0,0.020088,0.007937,0.555554,0,0,0.142857,0,0,1,1,0,0,0,0.285715,0,0.499999,0,0,0,0,0,0,0,0,0.333333,0.285714,1
0.400001,0,0.00183,0.005952,0.333332,0,0,0.142857,1,0,0,0,1,0,0,0,0,0.499999,0,0,0,0,0,0,0,0,0,0,1
0.800001,0,0.008258,0.009921,0.777776,0,0.214286,0.428572,1,1,0,0,1,1,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.714285,2
0.800001,0,0.001607,0.017857,0.666665,0,0,0.285715,1,0,1,0,1,0,0,0,0.249999,0,0,0.25,0.02,0,0,0,0,0,0.333333,0,3
0.600001,0.333333,0.042184,0.017857,1,0,0,0.428572,0,1,1,1,0,1,0,0.142857,0,0,0,0,0,0,1,0,0,0,0.166666,0.285714,5
0.800001,0,0.022944,0.048611,1,0,0.357143,0.285715,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0.600001,0,0.002544,0.001984,0.222221,0,0.357143,0.428572,1,1,0,1,1,0,0,0.142857,0,0,0,0.25,0.02,0,0,0,0,0,0,0.142857,7
1,0.333333,0.000045,0,1,0,0,0.142857,1,0,0,0,1,0,0,0,0,0.499999,0,0.25,0,0,0,0,0,0,0.666666,0,1
0.200001,1,0.000223,0.000992,0,0,0,0.285715,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.666666,0.571429,1
0.600001,0,0.007321,0.006944,0.777776,0,0,0.142857,1,0,0,0,1,0,0,0,0.249999,0,0,0,0.02,1,0,0,0,0,0,0,2
0.800001,0,0.034863,0.044643,0.888888,0,0,0.142857,1,0,0,0,1,0,0,0,0,0,0,0,0.02,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0.714286,1,1,1,1,1,0,1,0.285715,0,0.499999,1,0.25,0,0,0,1,1,0,0.666666,0.285714,1
1,0.333333,0,0,0,0,0,0.571429,1,0,1,1,1,0,0,0.285715,0,0.499999,1,0.25,0.18,0,0,0,0,0,0.666666,0.285714,1
0.800001,0,0.00375,0.000992,0.777776,0.2,0.214286,0.428572,1,1,0,0,1,1,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0.714285,2
0.600001,0,0.010535,0.012897,1,0,0.428571,0.571429,1,0,0,1,1,1,0,0.428572,0.249999,0,0,0,0,0,0,0,1,0,0.833331,0,5
0.400001,1,0.010937,0.055555,0,0,0,0.285715,1,0,1,0,1,0,0,0,0,0.499999,1,0,0,0,0,0,0,0,0.666666,0,1
0.200001,0.666667,0.007946,0.002976,0.11111,0,0.642857,0.285715,0,0,1,1,1,0,0,0.571429,0,0,0,0.25,0.02,0,0,0,0,0,0.666666,0.571429,0
0,1,0,0,0,0,0,0.714286,1,1,1,1,1,0,0,0.571429,0,0,0,0,0,0,0,1,1,1,0.666666,0.571429,1
0,1,0.417954,0.229166,0,0,0.928572,0.285715,1,0,1,0,1,0,0,0.571429,0,0,0,0.25,1,0,0,0,0,0,0.333333,0,1
0.800001,0,1,0.271825,0.444443,0,0,0.142857,1,0,0,1,0,0,0,0,0,0,0,0,0.02,0,0,1,0,0,0,0,6
1,0.333333,0.00067,0,0.555554,0,0,0.428572,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.833331,0.142857,1
0.400001,0,0,0,0.555554,0.4,0,0.428572,1,0,0,1,1,1,0,0.428572,0,0,0,0,0,0,0,1,0,0,0.499999,0.571429,0
0.200001,1,0.040711,0.014881,0.11111,0,0.214286,0.857143,1,1,1,1,1,1,1,0,0,0,0,0,0.14,0,0,1,1,0,0.499999,0,0
0.800001,0,0.014865,0.059524,1,0,0,0.142857,1,0,0,1,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,6
1,0.666667,0.000134,0,0,0,0,0.285715,1,0,1,0,1,0,0,0,0,0,0,0.25,0.1,0,0,0,0,0,0.333333,0,1
0.400001,0,0.011428,0.021825,0.555554,0,0.214286,0.428572,1,0,1,1,1,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.333333,0,6
0.600001,0.333333,0.040398,0.027778,1,0,0,0.428572,1,1,0,1,0,0,1,0.142857,0.249999,0,0,0,0,0,0,1,1,0,0.166666,0.142857,5
0.600001,0.333333,0.033613,0.005952,1,0.6,0,0.428572,1,1,0,0,0,1,1,0.142857,0,0,0,0,0,0,0,0,1,0,0.166666,1,5
0.600001,0.333333,0.017454,0.007937,1,0,0.500001,0.571429,1,1,0,1,1,1,0,0.142857,0,0,0,0,0.02,0,1,1,1,0,0.166666,0.142857,5
