f1,f4,f8,f12,f13,f14,f19,f24,f28,f30,f32,f35,f36,f50,f52,f53,f54,f60,f66,f74,f76,f81,f82,f86,f89,f90,class
0.839088,0.309366,0.314465,0.249999,0.687644,0.216563,0.353078,0.626228,0.983097,0.974639,0.854163,0.285353,0.518385,0.282485,0.286889,0.840543,0.325813,0.262347,0.646073,1,0.835072,0.311162,0.579755,0.41691,0.63619,0.327175,0
0.698856,0.168749,0.172964,0.155054,0.643355,0.143316,0.421795,0.268845,0.569011,0.692952,0.776787,0.047146,0.879589,0.180795,0.144813,0.644648,0.16129,0.277773,0.331464,0.201804,0.256545,0.150217,0.659503,0.810497,0.167318,0.781002,0
0.749427,0.118746,0.122646,0.123422,0.687644,0.114645,0.367302,0.508201,0.847888,0.907041,0.904755,0.255578,0.591969,0.214684,0.202189,0.835997,0.212907,0.2716,0.724719,0.750001,0.544502,0.510727,0.303686,0.279877,0.780154,0.308709,0
0.563224,0.237492,0.242137,0.227852,0.503489,0.194262,0.225114,0.442622,0.802813,0.898584,0.883927,0,0.648823,0.138412,0.174864,0.710704,0.229031,0.188266,0.407307,0.608429,0.602087,0.160944,0.549078,0.399416,0.488332,0.269133,0
0.689657,0.321867,0.323906,0.303795,0.61771,0.296181,0.414689,0.826223,0.95775,0.833797,0.681543,0.516132,0.341135,0.378527,0.29508,0.920273,0.26451,0.206786,0.564612,0.948797,1,0.448499,0.911043,0.644322,0.529179,0.382582,0
0.882765,0.309366,0.314465,0.490498,0.755239,0.595542,0.421795,0.590167,0.464784,0.39155,0.339286,0.45658,0.414719,0.316387,0.213119,0.965837,0.187098,0.475307,0.74439,0.33735,0.251309,0.478542,0.57668,0.690961,0.836572,0.591025,0
0.742534,0.718755,0.729566,0.699363,0.710951,0.601912,0.504735,0.577051,0.864791,0.954925,0.964284,0.178654,0.725744,0.51977,0.565572,0.872433,0.696777,0.46296,0.629218,0.83433,0.75392,0.268238,0.708586,0.620996,0.556417,0.543539,0
0.813797,0.615628,0.534595,0.348102,0.529134,0.401279,0.246444,0.881958,0.760563,0.667604,0.58631,0.540943,0.448152,0.564971,0.431689,0.772213,0.48387,0.425933,0.665732,0.822295,0.599475,0.439912,0.506129,0.562682,0.710119,0.60158,0
0.81609,0.656249,0.490566,0.329113,0.552441,0.30573,0.267773,0.619671,0.870424,0.859156,0.67559,0.401981,0.438125,0.581922,0.554643,0.906611,0.587104,0.425933,0.620784,0.789153,0.68324,0.358369,0.521475,0.518953,0.678988,0.543539,0
0.777013,0.596876,0.559754,0.395568,0.587414,0.423567,0.291467,0.767216,0.853522,0.794369,0.678573,0.444175,0.454842,0.615823,0.543713,0.7631,0.506459,0.447533,0.775286,0.813252,0.594239,0.454934,0.506129,0.533525,0.714011,0.606857,0
0.829889,0.543754,0.559754,0.430374,0.736596,0.375799,0.421795,0.55082,0.777466,0.808448,0.755947,0.339953,0.384609,0.567803,0.551916,0.890664,0.622584,0.302467,0.452255,0.75903,0.714655,0.186694,0.733128,0.533525,0.529179,0.456467,0
0.887354,0.599995,0.584913,0.512659,0.81352,0.468156,0.568723,0.498357,0.678873,0.735215,0.794646,0.287842,0.722407,0.471749,0.519127,0.929386,0.658064,0.549387,0.536519,0.572295,0.557587,0.223172,0.809814,0.711377,0.507785,0.517152,0
0.236789,0.212503,0.182393,0.120248,0.512816,0.114645,0.85545,0.688521,0.791546,0.800002,0.773806,0.813904,0.478262,0.240116,0.23224,0.16857,0.25484,0.1358,0.410109,0.659645,0.557587,0.678108,0.300611,0.192419,0.309343,0.24538,0
0.140233,0.140616,0.132087,0.151898,0.515142,0.216563,0.646922,0.780331,0.7831,0.70422,0.574404,0.431756,0.19398,0.076272,0.038255,0.152625,0.032261,0.098773,0.516861,0.638552,0.518322,0.448499,0.282205,0.241979,0.140081,0.240104,0
0.128741,0.206254,0.210702,0.177216,0.330999,0.162412,0.604264,0.685249,0.794369,0.816893,0.8006,0.687347,0.508358,0.200563,0.193997,0.100231,0.225812,0.191361,0.412925,0.695779,0.633503,0.703858,0.558287,0.346945,0.367702,0.26649,0
0.151727,0.265626,0.264159,0.218352,0.382277,0.226113,0.592417,0.770489,0.836619,0.822526,0.723212,0.540943,0.414719,0.327687,0.319677,0.107061,0.351608,0.259266,0.49719,0.73795,0.617795,0.549358,0.398765,0.300294,0.223736,0.398415,0
0.18391,0.22499,0.210702,0.164557,0.36596,0.165604,0.575829,0.586881,0.79718,0.819716,0.803568,0.694788,0.632106,0.211865,0.213119,0.107061,0.261291,0.234574,0.311793,0.602405,0.562823,0.701716,0.656441,0.431494,0.404666,0.308709,0
0.190804,0.196869,0.185544,0.148725,0.456874,0.171974,0.708533,0.740984,0.828162,0.825351,0.761899,0.727053,0.548495,0.220334,0.207654,0.127565,0.25484,0.185187,0.415729,0.689754,0.617795,0.71888,0.564409,0.338192,0.375487,0.255934,0
0.714949,0.771877,0.748435,0.683545,0.412586,0.684707,0.215645,0.839338,0.805636,0.777466,0.744041,0.459056,0.655512,0.725996,0.666666,0.74488,0.745161,0.666667,0.780904,0.786147,0.672767,0.377684,0.687119,0.679298,0.643965,0.707117,0
0.574717,0.865621,0.874218,0.870249,0.533798,0.856682,0.400478,0.7541,0.805636,0.833797,0.809522,0.290318,0.692297,0.737297,0.691252,0.674266,0.793544,0.706787,0.769667,0.795178,0.672767,0.332619,0.745399,0.758015,0.513618,0.728227,0
0.482762,0.706254,0.710696,0.686703,0.35897,0.678337,0.116115,0.806548,0.766198,0.721123,0.67559,0.302723,0.484952,0.49435,0.431689,0.660593,0.461294,0.490747,0.750009,0.689754,0.562823,0.41201,0.490797,0.495627,0.65175,0.625334,0
0.632181,0.67812,0.663529,0.60126,0.386941,0.601912,0.189573,0.773772,0.805636,0.791545,0.744041,0.277911,0.612038,0.485881,0.546451,0.783601,0.67742,0.611107,0.612362,0.680724,0.646598,0.248923,0.779136,0.737612,0.424129,0.612135,0
0.590809,0.781246,0.783022,0.74367,0.487171,0.659241,0.154021,0.672134,0.873237,0.864791,0.809522,0.002476,0.471573,0.641243,0.644807,0.7016,0.751613,0.506173,0.528098,0.73795,0.680627,0.006437,0.656441,0.419832,0.404666,0.411614,0
0.627593,0.749994,0.761015,0.727853,0.552441,0.665597,0.274879,0.659018,0.856334,0.940846,0.898801,0.04218,0.668891,0.641243,0.661201,0.728934,0.767751,0.604933,0.634836,0.620478,0.612559,0.118021,0.819011,0.696792,0.33463,0.527707,0
0.740228,0.35312,0.358493,0.360761,0.650345,0.347127,0.386254,0.354098,0.467607,0.464783,0.425596,0.511167,0.324418,0.307905,0.29508,0.790433,0.341936,0.351853,0.480335,0.379522,0.340309,0.585836,0.417172,0.46647,0.785988,0.464377,1
0.896553,0.399992,0.39937,0.405055,0.881115,0.404457,0.675357,0.393445,0.495778,0.504223,0.476189,0.36724,0.40803,0.370058,0.368849,0.995443,0.441938,0.429013,0.516861,0.43373,0.387433,0.39914,0.493859,0.518953,0.673154,0.493398,1
0.885061,0.371871,0.374225,0.37975,0.843817,0.372607,0.649287,0.34754,0.470418,0.484509,0.464283,0.342429,0.404678,0.344638,0.344263,0.961278,0.416129,0.416667,0.494387,0.409645,0.369113,0.317597,0.475465,0.483965,0.564202,0.453822,1
0.602302,0.534371,0.537746,0.544307,0.400933,0.547774,0.246444,0.554092,0.653525,0.66197,0.642855,0.255578,0.598659,0.466099,0.453549,0.779045,0.545158,0.546293,0.634836,0.539153,0.486906,0.461368,0.579755,0.583098,0.694548,0.548816,1
0.871261,0.559373,0.566044,0.575942,0.869461,0.57961,0.789096,0.544262,0.625354,0.630987,0.624997,0.337464,0.638796,0.477399,0.483611,0.936218,0.60968,0.65124,0.63764,0.557227,0.513086,0.324032,0.708586,0.673466,0.517511,0.564637,1
0.751721,0.309366,0.314465,0.316454,0.745912,0.324839,0.661134,0.344254,0.44507,0.442246,0.41666,0.352358,0.327756,0.322037,0.308748,0.651478,0.364512,0.376547,0.488769,0.391571,0.348169,0.613727,0.432517,0.46647,0.459142,0.448545,1
0.797704,0.546872,0.556616,0.553795,0.652671,0.541404,0.367302,0.577051,0.639433,0.639433,0.624997,0.496273,0.625417,0.516951,0.502732,0.806378,0.596775,0.641973,0.679784,0.545178,0.492142,0.356216,0.619629,0.673466,0.640082,0.630611,1
0.841381,0.64063,0.65095,0.484182,0.734258,0.487266,0.485782,0.570494,0.628165,0.625353,0.607138,0.39454,0.591969,0.50565,0.491803,0.726649,0.580652,0.57408,0.651692,0.569276,0.51571,0.579401,0.64417,0.679298,0.752917,0.65171,1
0.885061,0.624997,0.63208,0.525318,0.762229,0.503184,0.481041,0.55082,0.619719,0.619719,0.601186,0.543419,0.565211,0.471749,0.445357,0.785874,0.525802,0.561733,0.665732,0.557227,0.492142,0.452792,0.619629,0.647231,0.706226,0.588392,1
0.845982,0.446877,0.452841,0.477853,0.661999,0.535034,0.443124,0.514759,0.569011,0.569011,0.553576,0.531014,0.511695,0.43221,0.431689,0.724377,0.51613,0.53704,0.623599,0.503019,0.45549,0.497847,0.58589,0.606411,0.741249,0.564637,1
0.882765,0.512501,0.515725,0.518989,0.881115,0.522294,0.829378,0.531146,0.619719,0.633798,0.613091,0.258067,0.57859,0.52542,0.508197,0.7631,0.599994,0.5926,0.660113,0.56627,0.502614,0.255369,0.595087,0.635568,0.550583,0.604224,1
0.82069,0.612496,0.619501,0.484182,0.778546,0.487266,0.511841,0.534418,0.605628,0.602816,0.595233,0.38461,0.525074,0.42656,0.426236,0.785874,0.51613,0.533947,0.640455,0.542172,0.486906,0.491412,0.592026,0.629737,0.727631,0.596302,1
0.16782,0.406242,0.415102,0.468351,0.405596,0.464965,0.635063,0.472125,0.552109,0.549297,0.520828,0.526062,0.461531,0.367227,0.352466,0.150341,0.416129,0.46296,0.514046,0.400601,0.369113,0.590129,0.475465,0.518953,0.295724,0.501319,1
0.172418,0.384372,0.41824,0.455692,0.442883,0.461786,0.658769,0.495085,0.563377,0.557742,0.526781,0.478903,0.471573,0.395478,0.382517,0.182231,0.451609,0.487653,0.578652,0.49097,0.439794,0.675966,0.539881,0.574345,0.357975,0.543539,1
0.066666,0.446877,0.487428,0.49367,0.494173,0.499992,0.639804,0.531146,0.597183,0.594359,0.559528,0.287842,0.50502,0.43221,0.437154,0.127565,0.500007,0.530867,0.620784,0.518074,0.460726,0.478542,0.558287,0.597671,0.192607,0.548816,1
0.085064,0.249992,0.261008,0.272146,0.076922,0.283442,0.263031,0.44918,0.538029,0.543663,0.514876,0.756829,0.451504,0.361589,0.35792,0.093399,0.416129,0.42284,0.558993,0.430724,0.376961,0.678108,0.472391,0.510212,0.552534,0.474932,1
0.193097,0.365621,0.402522,0.430374,0.550115,0.439485,0.680098,0.478683,0.543663,0.535205,0.50297,0.382134,0.444815,0.372877,0.35792,0.214124,0.44839,0.46296,0.55056,0.451804,0.397906,0.364803,0.496933,0.510212,0.159534,0.490764,1
0.062065,0.306247,0.305037,0.398739,0.42424,0.394909,0.599522,0.422948,0.512669,0.512668,0.476189,0.496273,0.391299,0.347457,0.336072,0.093399,0.406458,0.429013,0.530901,0.448798,0.403142,0.583684,0.487723,0.527694,0.221795,0.501319,1
0.535639,0.634379,0.64466,0.651897,0.477856,0.662419,0.379148,0.714753,0.746472,0.74366,0.726182,0.310177,0.685622,0.576272,0.568311,0.630987,0.67742,0.679013,0.747193,0.635546,0.565446,0.300423,0.665638,0.679298,0.521404,0.664909,1
0.528733,0.52187,0.531457,0.537977,0.463864,0.547774,0.324643,0.636058,0.712678,0.715489,0.708337,0.188585,0.662202,0.516951,0.500006,0.592253,0.599994,0.645067,0.699443,0.617473,0.557587,0.216737,0.680983,0.696792,0.284046,0.656987,1
0.590809,0.593744,0.600631,0.604432,0.508153,0.61146,0.308055,0.632786,0.684507,0.676049,0.654761,0.362288,0.622065,0.570622,0.551916,0.5467,0.648393,0.620373,0.679784,0.632528,0.565446,0.547205,0.714722,0.749275,0.603118,0.717672,1
0.505747,0.687502,0.698117,0.696205,0.414912,0.691077,0.227491,0.688521,0.752106,0.760563,0.758929,0.280402,0.735787,0.663844,0.64208,0.642375,0.751613,0.71296,0.77247,0.746995,0.662307,0.28326,0.769942,0.778431,0.511677,0.738782,1
0.570117,0.687502,0.685537,0.667714,0.433567,0.662419,0.232221,0.659018,0.71549,0.721123,0.708337,0.347393,0.678932,0.607342,0.590158,0.653763,0.696777,0.666667,0.741575,0.665669,0.599475,0.343347,0.726993,0.746365,0.560309,0.72295,1
0.606901,0.67812,0.688689,0.667714,0.442883,0.649679,0.229855,0.698351,0.752106,0.752105,0.741071,0.280402,0.712366,0.587572,0.571037,0.712988,0.680653,0.648147,0.724719,0.6747,0.594239,0.330466,0.723931,0.73178,0.599225,0.688652,1
0.850582,0.621878,0.63208,0.560124,0.850805,0.499992,0.853072,0.262287,0.323939,0.343665,0.357145,0.925567,0.411367,0.567803,0.565572,0.924829,0.658064,0.583333,0.525283,0.271079,0.230364,0.912009,0.349695,0.501459,0.838525,0.556727,2
0.76552,0.621878,0.62579,0.585443,0.755239,0.563692,0.720379,0.252456,0.247884,0.219712,0.193448,0.75434,0.247482,0.573453,0.576502,0.779045,0.687092,0.608027,0.539323,0.147596,0.09424,0.684542,0.211653,0.428572,0.710119,0.572559,2
0.786212,0.656249,0.666668,0.623421,0.787873,0.608282,0.781991,0.409832,0.394362,0.338032,0.24107,0.759304,0.070233,0.480231,0.502732,0.806378,0.612899,0.564813,0.480335,0.156627,0.117796,0.714586,0.273008,0.46647,0.700392,0.58047,2
0.439084,0.721873,0.720138,0.569626,0.400933,0.471334,0.33649,0.157376,0.292959,0.3493,0.398814,0.379658,0.535116,0.709046,0.661201,0.469244,0.696777,0.373453,0.289331,0.144576,0.175392,0.384118,0.552152,0.784262,0.418285,0.775725,2
0.758626,0.562492,0.572334,0.582271,0.74825,0.59872,0.736969,0.111469,0,0,0,0.794046,0.093638,0.661025,0.598362,0.806378,0.558063,0.151239,0,0.072296,0.185865,0.770379,0.622703,0.801757,0.803501,0.778357,2
0.829889,0.690621,0.694978,0.696205,0.827499,0.697447,0.791462,0.386887,0.346478,0.298592,0.214289,0.863526,0.080259,0.477399,0.532783,0.8451,0.680653,0.811734,0.890457,0.66265,0.541879,0.804717,0.423307,0.338192,0.803501,0.261211,2
0.604596,0.784378,0.767305,0.651897,0.587414,0.566884,0.58057,0.111469,0.250707,0.332397,0.377973,0.60546,0.4816,0.663844,0.617483,0.678812,0.696777,0.49692,0.348319,0.135547,0.198948,0.560086,0.487723,0.670557,0.59144,0.691296,2
0.70115,0.796879,0.801892,0.765817,0.734258,0.722927,0.654028,0.340982,0.247884,0.202821,0.145837,0.645165,0.210697,0.658194,0.663929,0.719819,0.770969,0.5216,0.320226,0.174699,0.243449,0.611586,0.58589,0.705545,0.66732,0.728227,2
0.625288,0.806249,0.820761,0.806966,0.6247,0.742037,0.571087,0.186879,0.16056,0.222534,0.247024,0.63276,0.290971,0.621473,0.636615,0.719819,0.787093,0.626547,0.500005,0.114454,0.154448,0.566521,0.453985,0.597671,0.585606,0.654354,2
0.606901,0.818749,0.83019,0.838601,0.599067,0.843943,0.578193,0.881958,0.898584,0.898584,0.892849,0.63276,0.879589,0.754234,0.729507,0.653763,0.864519,0.858028,0.915735,0.83735,0.740836,0.605151,0.895697,0.912541,0.605059,0.852241,2
0.588503,0.806249,0.811332,0.822784,0.578086,0.828024,0.556876,0.363927,0.228171,0.18873,0.157743,0.568243,0.29766,0.731647,0.704921,0.646921,0.816135,0.589507,0.412925,0.219879,0.293197,0.572955,0.668712,0.819251,0.612844,0.85752,2
0.606901,0.843751,0.849058,0.765817,0.580412,0.675159,0.582934,0.101641,0.194366,0.239438,0.297616,0.645165,0.421394,0.734466,0.704921,0.674266,0.793544,0.552467,0.365174,0.060245,0.133505,0.641629,0.533745,0.685129,0.63619,0.775725,2
0.450577,0.709372,0.707558,0.680374,0.391605,0.659241,0.284361,0.331152,0.326764,0.329574,0.309521,0.215885,0.20736,0.638424,0.680323,0.526197,0.861287,0.876546,0.792141,0.43373,0.324601,0.236054,0.395704,0.623906,0.396891,0.701851,2
0.496548,0.734374,0.738994,0.712022,0.440557,0.671967,0.348337,0.327866,0.292959,0.31267,0.264883,0.267982,0.217386,0.697745,0.71585,0.583149,0.883875,0.743827,0.598323,0.168676,0.2356,0.293988,0.426382,0.664726,0.437748,0.751981,2
0.422992,0.749994,0.754725,0.680374,0.426566,0.59872,0.44076,0.131145,0.171827,0.166193,0.124997,0.498762,0.133775,0.717515,0.718577,0.473802,0.861287,0.820987,0.626403,0.195779,0.149211,0.390553,0.125772,0.215745,0.443582,0.353562,2
0.473563,0.706254,0.713848,0.702534,0.428904,0.63057,0.400478,0.144259,0.211268,0.211266,0.202383,0.436721,0.260861,0.677964,0.658464,0.567203,0.780642,0.601853,0.432584,0.126502,0.109949,0.394847,0.190186,0.361518,0.496107,0.535617,2
0.501148,0.762495,0.742145,0.588601,0.410248,0.433115,0.315161,0.013117,0.214079,0.292957,0.375003,0.401981,0.558522,0.709046,0.688527,0.48519,0.777421,0.54012,0.387636,0.123499,0.117796,0.27039,0.328215,0.539357,0.418285,0.662265,2
0.498854,0.759376,0.729566,0.598102,0.484845,0.499992,0.457348,0.131145,0.199999,0.202821,0.187495,0.503727,0.18394,0.652544,0.672131,0.560361,0.82904,0.848774,0.764049,0.361448,0.259157,0.422749,0.196321,0.230317,0.429963,0.250657,2
0.443684,0.659368,0.660378,0.664556,0.431229,0.662419,0.386254,0.363927,0.349301,0.315495,0.252975,0.317618,0.150492,0.50565,0.549178,0.3918,0.709681,0.737653,0.752812,0.418675,0.308905,0.356216,0.266873,0.314866,0.356034,0.385227,2
0.482762,0.796879,0.805044,0.787977,0.456874,0.748407,0.327007,0.426234,0.383094,0.343665,0.30357,0.277911,0.247482,0.607342,0.650272,0.432807,0.832258,0.8426,0.831471,0.509031,0.39267,0.341194,0.340485,0.402338,0.356034,0.485487,2
0.540226,0.831251,0.839631,0.810125,0.494173,0.761147,0.390995,0.540976,0.523937,0.495778,0.443454,0.374693,0.384609,0.576272,0.609291,0.466971,0.767751,0.851854,0.898879,0.569276,0.479058,0.324032,0.444788,0.460639,0.338523,0.469655,2
0.466669,0.821867,0.83019,0.825955,0.463864,0.815285,0.376772,0.524588,0.478876,0.425356,0.351191,0.382134,0.260861,0.53672,0.581967,0.469244,0.758065,0.873453,0.879222,0.515055,0.408378,0.341194,0.377298,0.41691,0.356034,0.451189,2
0.501148,0.803131,0.808181,0.73734,0.454536,0.662419,0.364925,0.321308,0.37746,0.380282,0.354162,0.42184,0.344472,0.689264,0.707646,0.494305,0.851615,0.827159,0.741575,0.418675,0.345545,0.392706,0.380372,0.481055,0.404666,0.548816,2
0.514946,0.834369,0.842768,0.784806,0.456874,0.697447,0.322278,0.334424,0.360557,0.369014,0.351191,0.250624,0.314377,0.697745,0.737697,0.387242,0.893547,0.716053,0.573033,0.310246,0.293197,0.319738,0.417172,0.655985,0.338523,0.79419,2
0.432191,0.06249,0.066037,0.069612,0.414912,0.066878,0.334125,0.052463,0.191553,0.202821,0.178572,0.133997,0.150492,0.446329,0.475408,0.18679,0.603227,0.703707,0.842696,0.768073,0.670156,0.564379,0.776077,0.781342,0.603118,0.725594,3
0.558624,0.068741,0.072327,0.075942,0.550115,0.076425,0.526064,0.072138,0.194366,0.194365,0.139886,0.414386,0.033448,0.152542,0.177603,0.211851,0.25484,0.413587,0.646073,0.707828,0.649211,0.414162,0.858899,0.900878,0.558368,0.849598,3
0.570117,0.06249,0.062899,0.066454,0.559443,0.066878,0.521323,0.052463,0.180286,0.180284,0.145837,0.312653,0.086949,0.367227,0.407103,0.259675,0.538706,0.67284,0.820234,0.780124,0.696335,0.581542,0.840491,0.833823,0.673154,0.759892,3
0.501148,0.243741,0.248427,0.253158,0.487171,0.251591,0.462089,0.259015,0.349301,0.338032,0.294645,0.414386,0.190628,0.163844,0.15847,0.273349,0.209674,0.314813,0.533704,0.578319,0.544502,0.111586,0.791409,0.86298,0.194558,0.844332,3
0.655179,0.240623,0.245291,0.249999,0.648019,0.251591,0.630334,0.272132,0.374647,0.374647,0.342256,0.684871,0.257522,0.223165,0.213119,0.697043,0.245168,0.225307,0.303371,0.156627,0.154448,0.465662,0.245392,0.329451,0.412451,0.36675,3
0.629887,0.112495,0.113217,0.11709,0.6247,0.117837,0.606628,0.134431,0.250707,0.247883,0.196432,0.590578,0.090301,0.223165,0.245907,0.364466,0.332264,0.469133,0.682587,0.716871,0.66492,0.579401,0.877304,0.91545,0.700392,0.852241,3
0.735629,0.159367,0.163522,0.167713,0.722604,0.171974,0.701415,0.167204,0.247884,0.233803,0.181543,0.535979,0.070233,0.180795,0.207654,0.271076,0.29032,0.429013,0.626403,0.656626,0.604711,0.364803,0.797544,0.845486,0.478595,0.812666,3
0.726442,0.159367,0.163522,0.164557,0.715615,0.162412,0.651651,0.134431,0.245074,0.239438,0.196432,0.464021,0.107018,0.220334,0.240442,0.316628,0.32258,0.432107,0.601126,0.614454,0.570682,0.418456,0.776077,0.836732,0.480547,0.804744,3
0.767814,0.209372,0.210702,0.215193,0.759903,0.216563,0.74171,0.226225,0.309862,0.301402,0.247024,0.640201,0.133775,0.186445,0.207654,0.446468,0.277415,0.398147,0.603941,0.635546,0.589003,0.512868,0.794482,0.833823,0.599225,0.788913,3
0.708043,0.078123,0.078617,0.085442,0.694633,0.079617,0.597158,0.019673,0.17465,0.197188,0.184524,0.359799,0.173912,0.485881,0.508197,0.476086,0.64516,0.756173,0.842696,0.750001,0.659684,0.834759,0.809814,0.82216,0.815178,0.767814,3
0.719536,0.143746,0.147804,0.148725,0.708625,0.149673,0.670616,0.121314,0.222535,0.211266,0.163684,0.466497,0.083611,0.322037,0.360658,0.34852,0.490322,0.638893,0.806181,0.75903,0.670156,0.721021,0.825146,0.854226,0.770428,0.802112,3
0.726442,0.053121,0.059747,0.060124,0.703961,0.050959,0.625593,0.029503,0.169017,0.174651,0.142854,0.513643,0.070233,0.186445,0.204927,0.394073,0.270963,0.3642,0.558993,0.590356,0.544502,0.480684,0.730053,0.787173,0.533071,0.762537,3
0.565518,0,0,0,0.53146,0,0.490524,0,0.140845,0.140844,0.095233,0.401981,0,0.076272,0.090164,0.223239,0.125811,0.200614,0.331464,0.280123,0.272253,0.113738,0.414111,0.510212,0.188712,0.551449,3
0.494254,0.140616,0.141516,0.132907,0.431229,0.121015,0.289102,0.190166,0.37746,0.408453,0.404754,0.129032,0.381272,0.593222,0.606553,0.53987,0.741942,0.768519,0.839891,0.768073,0.680627,0.630901,0.828221,0.845486,0.630356,0.791556,3
0.52184,0.190621,0.182393,0.180375,0.491835,0.171974,0.436018,0.183607,0.304226,0.31267,0.279757,0.312653,0.214049,0.293787,0.28415,0.223239,0.348388,0.391974,0.514046,0.49097,0.458114,0.291847,0.628838,0.690961,0.383272,0.680742,3
0.565518,0.081241,0.072327,0.063283,0.466202,0.060506,0.343595,0.131145,0.301403,0.323939,0.312504,0.183619,0.284282,0.372877,0.398912,0.264234,0.522583,0.663587,0.842696,0.81627,0.719891,0.701716,0.886501,0.90671,0.708167,0.846964,3
0.627593,0.093744,0.091198,0.091772,0.58275,0.089164,0.485782,0.085238,0.230982,0.250706,0.24107,0.203465,0.230765,0.378527,0.398912,0.321187,0.51613,0.660493,0.820234,0.813252,0.732987,0.731759,0.923313,0.941699,0.737357,0.878628,3
